,state,x,y
0,Ladakh,-146.0,337.0
1,Jammu And Kashmir,-163.0,291.0
2,Himachal Pradesh,-121.0,255.0
3,Uttarakhand,-76.0,207.0
4,Chandigarh,-154.0,235.0
5,Punjab,-158.0,216.0
6,Haryana,-135.0,184.0
7,New Delhi,-116.0,164.0
8,Uttar Pradesh,-69.0,145.0
9,Bihar,49.0,112.0
10,West Bengal,103.0,44.0
11,Sikkim,123.0,148.0
12,Assam,187.0,124.0
13,Meghalaya,192.0,104.0
14,Arunachal Pradesh,237.0,177.0
15,Nagaland,256.0,122.0
16,Manipur,247.0,94.0
17,Mizoram,225.0,55.0
18,Tripura,195.0,60.0
19,Jharkhand,43.0,52.0
20,Rajasthan,-221.0,130.0
21,Gujarat,-238.0,47.0
22,Daman And Diu And Dadra And Nagar Haveli,-213.0,-28.0
23,Maharashtra,-186.0,-54.0
24,Madhya Pradesh,-87.0,41.0
25,Chattisgarh,-24.0,-9.0
26,Odisha,31.0,-23.0
27,Andhra Pradesh,-91.0,-150.0
28,Telangana,-82.0,-86.0
29,Karnataka,-171.0,-159.0
30,Pondicherry,-101.0,-285.0
31,Goa,-191.0,-149.0
32,Kerala,-140.0,-266.0
33,Tamil Nadu,-101.0,-255.0
34,Lakshadweep,-250.0,-238.0
35,Andaman And Nicobar,247.0,-211.0
